item_id,user_id,timestamp
2194,40791,-1904918192
5471,8241,1622270512
5471,2562,229766216
5471,5619,-1933351080
3279,50410,453479920
3279,50410,453479920
5471,55628,875901032
13935,24700,-1990835264
13935,18877,-1940647264
13935,37992,-1343053264
13935,55436,-1294604264
13935,2361,424184736
5471,53112,2059500440
5471,34641,-687656856
7755,9019,844385552
5471,54380,1705016552
2194,55746,1890217552
930,48705,438520256
5471,25680,-1443573040
5471,34406,1925341960
1047,703,2123055960
5471,8577,-2042352336
15663,43506,-1933391336
2194,9478,144705664
1047,57740,1781982664
5471,51915,-1082755632
15063,58317,-362801632
5471,13330,-154418632
5471,54745,100543368
5471,52814,902645368
1047,16615,1129721368
1047,42813,1756599368
5471,2597,-2124883928
2194,49289,-1676146928
6159,36870,-1675271928
1047,3576,-1436072928
5471,57436,-1084858928
2194,32317,329218072
1047,51900,747538072
1047,23044,882441072
7536,50355,-2009214224
2194,39575,-1406996224
7536,5038,-1070501224
2194,45764,-1015315224
6928,8860,2115968776
5471,49728,-1308069520
2194,14978,-551259520
21870,53881,524754480
930,17012,879931480
7536,9121,1563875480
930,58125,1714806480
15063,9542,1736529480
5471,20463,-707923816
13386,15930,-279666816
10003,27417,380908184
15663,32296,1216271184
6159,34865,1371153184
21870,12931,1767425184
21870,19903,-1177056112
6928,54720,114576888
930,49058,813976888
6159,32296,1676106888
22597,59112,-1835541408
13386,12357,-1309808408
6956,43906,490823592
1047,18574,685178592
6232,59347,1378901592
2194,45354,-1801219704
6232,13515,-1737246704
13386,45247,-1528992704
2194,33304,-849379704
2194,56759,-193458704
2194,51183,-11924704
11721,39595,421889296
1047,39595,426276296
930,34022,1721130296
6928,48505,1915745296
3450,16755,2008569296
8395,45568,-1167951000
18466,11433,-1037544000
10003,53069,-481988000
10003,39919,711854000
6232,30510,1324824000
3450,26220,1512525000
18466,11276,1566843000
6928,58946,1650334000
9256,55185,1698643000
2194,12420,1788562000
6928,5421,2093755000
18221,12102,-1643098296
930,5602,-1627209296
3450,29188,-1611777296
930,5421,-266020296
13386,34311,243318704
2194,48435,1688742704
9256,22245,1710035704
3450,6424,1926321704
16277,16311,2044823704
21870,51460,-2138183592
1047,899,-2002547592
21870,55563,-1987094592
6956,18102,-1937545592
4259,46504,-1867088592
10003,29191,-1337975592
18221,28506,-1150397592
1047,447,444166408
21870,50733,1051514408
6232,39763,-1987678888
16069,52864,-1714109888
22785,26106,-1470771888
11587,35350,-1223051888
6232,35040,-591986888
1047,43128,680787112
6928,9816,909493112
22788,41096,1081800112
9256,46127,2107132112
6772,21055,-2124305184
7969,7798,-2005471184
11587,11116,-1828327184
22785,14691,-919863184
7969,48974,-115980184
22597,59777,185684816
6928,48540,726492816
22443,19067,1000815816
10510,5084,1680853816
11587,50618,1682166816
17413,28401,2018796816
1047,25716,-2129103480
1047,40326,-1954801480
6628,44454,-1934930480
6928,27610,-1860509480
19066,47820,-464070480
1794,35891,-380514480
14827,51811,-354926480
8438,36422,-247073480
6232,173,133603520
8820,58353,260698520
6928,18887,811252520
11587,5026,839761520
6928,41834,1036591520
6356,41485,1062548520
7969,41485,1154443520
21630,38724,1795481520
1047,47911,2042039520
1047,47911,2042039520
19066,4688,-1968350776
7969,51811,-1920867776
1047,8673,-1224621776
6772,30412,-1217697776
1047,21934,-885673776
6772,23937,353875224
1047,37223,445120224
23029,9379,689398224
13386,49735,1600183224
6928,45742,1671682224
6956,7474,1738989224
21630,55573,1748412224
6611,32999,-1963519072
19066,20795,-1933457072
18481,5084,-1054326072
21553,50807,-854617072
1047,57149,-737401072
21376,38147,-576859072
5931,47704,-563710072
7969,28000,-451121072
11587,28000,-449907072
1047,57473,-448203072
6356,14756,-236865072
4147,2859,-171535072
5471,42497,-155890072
6611,26982,7518928
6611,19676,13034928
6611,19676,13034928
6611,19676,13034928
